Gene stable ID	Gene name
ENSG00000282520	IGHD3OR15-3A
ENSG00000282599	IGHD2OR15-2A
ENSG00000282927	AC136944.6
ENSG00000283172	MIR548D1
ENSG00000283206	MIR941-1
ENSG00000283279	MIR376C
ENSG00000283455	MIR523
ENSG00000283490	MIR518C
ENSG00000283513	MIR941-3
ENSG00000283540	MIR520F
ENSG00000283556	MIR376B
ENSG00000283561	MIR376A2
ENSG00000283682	MIR548AH
ENSG00000283685	MIR522
ENSG00000284609	OR8B3
ENSG00000284680	OR8B2
ENSG00000284733	OR4F29
ENSG00000284788	AC183088.1
ENSG00000284892	OR4H6P
ENSG00000285135	OR4Q1P
