File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
5cdc04c0-0ab9-4cdc-a740-0966faf4b8e4	d1489e83-a47f-4d2e-b330-c0698b1ccc27.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-A45V	TCGA-CV-A45V-01A	Primary Tumor
3fd3d1ba-67f4-4380-800b-af1d8f39b40c	2f3f4579-6282-43a1-9f75-bac712f1f0d6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-BP-4766	TCGA-BP-4766-01A	Primary Tumor
8439d23c-d1ec-4871-8bcf-1f6064dbd3bc	6a058f09-eac6-40d3-a24f-da1cb0371a2b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-A3-3352	TCGA-A3-3352-01A	Primary Tumor
47b5324a-2253-4e19-bbc9-5c2b4d1fb605	cca1b871-82df-4a08-9d17-8916182167f0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PCPG	TCGA-QR-A70K	TCGA-QR-A70K-01A	Primary Tumor
4f86be11-77c3-4437-9fcb-7196a2f681d8	f38a09f0-50e3-45c9-92a2-18e7639bfd6f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-H7-7774	TCGA-H7-7774-01A	Primary Tumor
49f8e4a0-262d-42dd-bfa4-7ed46316e2ed	352b68d8-a9a2-4210-9f28-071b777654c0.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CQ-A4CG	TCGA-CQ-A4CG-01A	Primary Tumor
056a99cb-53ab-4146-9277-33caeb9d1a02	25bfcac0-ba7b-41cb-8343-34bb425857aa.FPKM.txt.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-UVM	TCGA-VD-A8KF	TCGA-VD-A8KF-01A	Primary Tumor
c8309e7b-6b9b-48d7-b3f8-e97f9c1abde8	537d05c7-a7d0-48ab-aae0-90fde055a277.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-HNSC	TCGA-CV-5970	TCGA-CV-5970-01A	Primary Tumor
93289a76-23cd-42b1-9ad4-464a8f8ec5f4	3f525b6f-e66f-455f-90ad-8adc27da7045.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-KIRC	TCGA-G6-A8L7	TCGA-G6-A8L7-01A	Primary Tumor
4fe6051b-60e2-4d4a-8709-e49b24e4fa61	db18f592-80d8-4834-a844-d28603238c3a.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-EL-A3D0	TCGA-EL-A3D0-01A	Primary Tumor
206eade4-6a20-44d2-8340-c4d0b0c5acfc	162aaa94-eff4-4f3b-8e0e-354a6d892301.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-THCA	TCGA-J8-A4HY	TCGA-J8-A4HY-01A	Primary Tumor
ffabb734-1394-42b1-be6c-c4b9bfdce621	1f920941-0118-4f2f-87c2-f3cede2d5f0b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-M9-A5M8	TCGA-M9-A5M8-01A	Primary Tumor
024fe42c-5db7-4bea-a61b-a42eefe32daf	13990c37-cf67-4b43-b962-6b7e99ffc995.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-7233	TCGA-HC-7233-01A	Primary Tumor
3dab985c-8f86-4ef7-9187-64e2b7eaf009	1530a60d-78d0-4ce6-8959-40080184f716.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-7115	TCGA-EJ-7115-01A	Primary Tumor
167aef29-9e90-4bd1-ab3c-49bdb9866939	8a799dfa-c1b5-4b13-9c91-6cbfe2abbc9f.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-8127	TCGA-IB-8127-01A	Primary Tumor
30632037-035e-4020-a0f4-86d68646a9cd	51055281-028a-442a-aff8-829dc01f8114.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-A8FP	TCGA-EJ-A8FP-01A	Primary Tumor
e2567946-b4e5-408a-950b-3bb6c130b2a1	caf9cab4-f98f-46bd-a75d-0eb1e9c6c9ea.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-2J-AAB1	TCGA-2J-AAB1-01A	Primary Tumor
a8256ba2-611a-4b6e-9db4-cdd0490e647b	2eaa996b-267f-4c9c-a58e-d1759c27c46c.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3A-A9IH	TCGA-3A-A9IH-01A	Primary Tumor
d257277b-072f-4b6c-bead-07332de2a533	49895f4a-72ac-4d5e-ba56-8c8bb5de4758.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-IB-AAUS	TCGA-IB-AAUS-01A	Primary Tumor
6e8cad17-b488-4d15-b8cc-027f64160a0e	4ae96ef3-8ed7-4b4f-a0d4-cc10c316e719.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-R6-A6DQ	TCGA-R6-A6DQ-01B	Primary Tumor
b5db657f-2eaf-4e0e-b4f9-f5f386aea040	c1f4dcd4-26b5-4b90-9564-44e03242e8e2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PAAD	TCGA-3E-AAAY	TCGA-3E-AAAY-01A	Primary Tumor
59590152-6674-49df-9d7f-22d53ba8ab5d	a2eb131b-ee21-4502-b626-ee4cd42ef1ea.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-5505	TCGA-EJ-5505-01A	Primary Tumor
aebc3c98-2fba-4d89-b874-07be26a4c335	65235020-a50c-4143-8e93-a2d020bca766.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-CH-5738	TCGA-CH-5738-01A	Primary Tumor
f7254232-70be-4a9f-a839-18f2bb8829de	eba0a1c8-6af3-4014-bbca-0826bdf4edf2.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-QU-A6IO	TCGA-QU-A6IO-01A	Primary Tumor
76d1721c-8a4d-4e20-98ce-87d9d379a0e9	c7f977c8-a977-4080-a297-6d1567181e64.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-7818	TCGA-HC-7818-01A	Primary Tumor
fb7c90f1-a69f-4a4c-a571-ebd0326cd61c	cfcd8eb5-9864-4463-8d83-d76c6f5dbe54.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-CH-5771	TCGA-CH-5771-01A	Primary Tumor
3e5be725-7b90-4e4b-9a49-46a7279f72a8	c7dec3e3-b999-48b9-8183-4b3515930b1d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-A6AS	TCGA-HC-A6AS-01A	Primary Tumor
27066272-aaaf-449c-8982-14998d541271	36d51af5-ac20-4505-a9b4-d3334a0bcca6.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-ESCA	TCGA-LN-A9FP	TCGA-LN-A9FP-01A	Primary Tumor
68151e05-de63-4672-84b3-51b939c6d206	d98aa6a3-c555-40d8-adcb-5dcf74f24a9e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-XK-AAJ3	TCGA-XK-AAJ3-01A	Primary Tumor
111b334c-a005-4996-968c-0795c09f04d9	fe2ee510-b575-4983-b16e-c8c8dc699916.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-5512	TCGA-EJ-5512-01A	Primary Tumor
6838baff-d8f0-43f7-bdc9-78722f572c5a	9f7d2a09-038f-4a98-85c9-652bdbcc9d33.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-H9-A6BY	TCGA-H9-A6BY-01A	Primary Tumor
ba6ce7a9-0066-4510-9741-6de87561d8e7	992d1bbb-5540-4082-9e08-819e0272cf89.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-HC-8264	TCGA-HC-8264-01B	Primary Tumor
f1c4de4e-8809-4d0f-aec8-beb062234391	8ffe46a4-3c62-45b0-b850-75fba2b94ab1.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-G9-6369	TCGA-G9-6369-01A	Primary Tumor
2194d203-17e5-47ee-a10f-4b43d4765af5	5e2f16e9-0720-4688-9e95-9fc480c8ade7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-EJ-A7NM	TCGA-EJ-A7NM-01A	Primary Tumor
9c1ae816-a2f8-45dc-8cc8-ee820d0fb0a7	ed80034e-eddb-49ac-8147-17ec79768137.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-PRAD	TCGA-KK-A59Y	TCGA-KK-A59Y-01A	Primary Tumor
7b49680e-d7a7-4b6c-8763-5d0d26c8bc61	5fa89257-f0c1-43ed-99d6-991870b4e422.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-D8-A27W	TCGA-D8-A27W-01A	Primary Tumor
cefaebf8-5419-4ddd-8dc1-e2867d584ce0	69878c97-02ab-4504-9506-aea3adbee455.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-A8-A07R	TCGA-A8-A07R-01A	Primary Tumor
0c9bc998-17a7-42cf-b4d2-b8a5df20ce8b	338b5431-af4d-41ce-855f-998a293c3680.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E9-A245	TCGA-E9-A245-01A	Primary Tumor
078f7608-b8f7-4827-b752-adfed6064922	e29ce54a-49a1-47a8-82fd-7687cec0d1bb.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-AC-A6NO	TCGA-AC-A6NO-01A	Primary Tumor
f821249b-0738-49a8-89e6-4756e894d000	b41174a5-4db8-438c-a9fa-6da8c08a9c75.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-E2-A15G	TCGA-E2-A15G-01A	Primary Tumor
a93597df-f552-4b43-9985-3a0955b03a1a	dd538c2f-a55d-4f4c-a83a-1507bf365403.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-BH-A0H9	TCGA-BH-A0H9-01A	Primary Tumor
96463113-d20c-405e-b2e8-56eed3faf201	19f52003-78b1-41db-af49-65536c538ce3.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-BRCA	TCGA-GM-A2DN	TCGA-GM-A2DN-01A	Primary Tumor
