Gene name	Gene stable ID
RF00019	ENSG00000238933
RF02116	ENSG00000275693
MIR6085	ENSG00000275451
RNU6-1328P	ENSG00000222870
RNU6-581P	ENSG00000252023
MIR759	ENSG00000211579
RF00019	ENSG00000206663
RN7SL413P	ENSG00000242893
RN7SL813P	ENSG00000241074
MIR4295	ENSG00000264763
MIR181B1	ENSG00000207975
RF00019	ENSG00000252486
RNA5SP333	ENSG00000200336
RF01210	ENSG00000238764
RF00019	ENSG00000201724
RN7SKP210	ENSG00000238875
RF00019	ENSG00000207024
RN7SL583P	ENSG00000239504
MIR1273D	ENSG00000264881
RF00019	ENSG00000201884
RF00072	ENSG00000212580
RF02198	ENSG00000277460
RF02275	ENSG00000276730
RF00019	ENSG00000201026
RNA5-8SP5	ENSG00000202174
RNU6-287P	ENSG00000252039
SNORD116-10	ENSG00000200661
RNU2-22P	ENSG00000223198
RF00019	ENSG00000252759
RN7SL818P	ENSG00000274234
RN7SKP129	ENSG00000222220
RNVU1-1	ENSG00000207340
RN7SKP36	ENSG00000200867
RNU1-6P	ENSG00000277344
RNA5SP490	ENSG00000252950
RN7SL242P	ENSG00000244389
RNU6-896P	ENSG00000199246
RN7SKP141	ENSG00000251976
RNU6-327P	ENSG00000252079
RNU7-186P	ENSG00000238419
RN7SL444P	ENSG00000265753
RF00019	ENSG00000199440
RF00564	ENSG00000253085
RNU6-1137P	ENSG00000252882
RNU6-353P	ENSG00000201136
SNORD114-7	ENSG00000199390
RNU4-22P	ENSG00000222990
RF00019	ENSG00000201633
RN7SL487P	ENSG00000243871
RNU6-1102P	ENSG00000251958
RF00493	ENSG00000201882
RN7SKP205	ENSG00000222931
RNU6-1242P	ENSG00000212354
RNU5B-2P	ENSG00000199906
RN7SL162P	ENSG00000266503
SNORD115-22	ENSG00000201326
RNU6-50P	ENSG00000199226
RF02150	ENSG00000274500
RNU6-319P	ENSG00000251834
RF02124	ENSG00000274430
RF00019	ENSG00000201938
RN7SL692P	ENSG00000239710
SNORD14B	ENSG00000201403
RNU6-12P	ENSG00000207334
MIR548AZ	ENSG00000276479
RNU6-1086P	ENSG00000222862
RF02271	ENSG00000278587
RN7SL121P	ENSG00000263974
RF00019	ENSG00000200325
MIR3926-1	ENSG00000266206
RF00019	ENSG00000207032
MIR5692C2	ENSG00000266668
RF02174	ENSG00000275646
RNU6-1211P	ENSG00000238382
RF00402	ENSG00000199392
RNA5SP450	ENSG00000223138
SNORA80D	ENSG00000207217
RF00012	ENSG00000221461
RNU4ATAC7P	ENSG00000252089
MIR425	ENSG00000199032
RF00019	ENSG00000276546
SNORA70H	ENSG00000206637
