File ID	File Name	Data Category	Data Type	Project ID	Case ID	Sample ID	Sample Type
228f601c-b657-479b-bcf4-f25bb2c823e4	16417d82-1ae0-4097-85c1-5e2df313fd35.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-61-2097	TCGA-61-2097-01A	Primary Tumor
dd9bc896-11ad-4156-9fd2-e85be97507e4	f9dc7237-e186-40e8-ab4c-d142dba7cf3d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-09-1670	TCGA-09-1670-01A	Primary Tumor
9390eaf2-e059-4481-94c1-1b752e619975	178c423a-3ae9-4343-aa81-02292024e421.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-61-1911	TCGA-61-1911-01A	Primary Tumor
fb02a814-f9e0-42ee-b3a1-7d9beee939be	d0744791-f4c0-45c7-b233-c6512f3c766b.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-1489	TCGA-13-1489-01A	Primary Tumor
de7e5b42-8601-4108-a1bf-9e8eb8d38a20	4524f1ca-c763-47af-8f80-331c64704d7d.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1844	TCGA-24-1844-01A	Primary Tumor
946d33d9-8cb0-4d7e-9fd3-0a8648518e37	68975d5d-407b-4ceb-96d3-8e2a37ca3c1e.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1845	TCGA-24-1845-01A	Primary Tumor
a6901cf4-d678-4816-b071-58bd614c3477	da436927-a3f5-4f12-b63d-d6f13f436ab7.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-1497	TCGA-13-1497-01A	Primary Tumor
b7c1da28-59e1-4867-b5af-93ad1f8f72a0	ab8603dd-2f94-4c83-9927-455958be0007.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-0891	TCGA-13-0891-01A	Primary Tumor
560d56bc-35ee-4361-b2d3-be361a0c6de9	30b1f3cd-604d-4a13-a196-1216658c87fa.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-24-1846	TCGA-24-1846-01A	Primary Tumor
d34f8892-6ddb-4f10-b2f7-e81a8482bd30	fa3553e7-0255-4d60-b8c9-3caba0d945cd.htseq.counts.gz	Transcriptome Profiling	Gene Expression Quantification	TCGA-OV	TCGA-13-1498	TCGA-13-1498-01A	Primary Tumor
