"uniprotkb_canonical_ac","status","gene_name","reviewed_isoforms","unreviewed_isoforms"
"Q9Y6C9-1","reviewed","MTCH2","Q9Y6C9-1","E9PIE4-1"
"Q658T7-1","reviewed","FAM90A2P","Q658T7-1",""
"Q658T7-1","reviewed","FAM90A2P","Q658T7-2",""
"P30613-1","reviewed","PKLR","P30613-1","A0A0G2JLC7-1"
"P30613-1","reviewed","PKLR","P30613-2","F8W6W2-1"
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-1",""
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-2",""
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-3",""
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-4",""
"Q5MIZ7-1","reviewed","PPP4R3B","Q5MIZ7-5",""
"A0A1W2PQ27-1","unreviewed","SSU72P7","","A0A1W2PQ27-1"
"P51788-1","reviewed","CLCN2","P51788-1","A0A1B0GVL9-1"
"P51788-1","reviewed","CLCN2","P51788-2","A0A1B0GVU4-1"
"P51788-1","reviewed","CLCN2","P51788-3","A0A1B0GUY6-1"
"P51788-1","reviewed","CLCN2","P51788-4","H7C0Q8-1"
"P51788-1","reviewed","CLCN2","P51788-5","A0A1B0GVW7-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GTY0-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GTJ3-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GUZ8-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GWC8-1"
"P51788-1","reviewed","CLCN2","","A0A1B0GV52-1"
"P23919-1","reviewed","DTYMK","P23919-2","H7BZ20-1"
"P23919-1","reviewed","DTYMK","P23919-1","H7C3A4-1"
"P23919-1","reviewed","DTYMK","","H7C312-1"
"P23919-1","reviewed","DTYMK","","G5E9E9-1"
"Q8NHX4-1","reviewed","SPATA3","Q8NHX4-1","A0A087WU50-1"
"Q8NHX4-1","reviewed","SPATA3","","H7C3E6-1"
"Q8NHX4-1","reviewed","SPATA3","","H7C283-1"
"Q8NHX4-1","reviewed","SPATA3","","F8WDD9-1"
"Q8NHX4-1","reviewed","SPATA3","","A0A2R8Y5R0-1"
"Q8NHX9-1","reviewed","TPCN2","Q8NHX9-1","A0A1B0GVQ7-1"
"Q8NHX9-1","reviewed","TPCN2","","A0A1B0GTM1-1"
"Q8NHX9-1","reviewed","TPCN2","","A0A1B0GUM5-1"
"Q8NHX9-1","reviewed","TPCN2","","E7ETX0-1"
"Q9NXR8-1","reviewed","ING3","Q9NXR8-1","E7ET07-1"
"Q9NXR8-1","reviewed","ING3","Q9NXR8-2","A0A0C4DG38-1"
"Q9NXR8-1","reviewed","ING3","Q9NXR8-3",""
"Q9C0H5-1","reviewed","ARHGAP39","Q9C0H5-1",""
"Q9C0H5-1","reviewed","ARHGAP39","Q9C0H5-2",""
"Q9C0H9-5","reviewed","SRCIN1","Q9C0H9-2",""
"Q9C0H9-5","reviewed","SRCIN1","Q9C0H9-4",""
"Q9C0H9-5","reviewed","SRCIN1","Q9C0H9-5",""
"Q9NXR1-2","reviewed","NDE1","Q9NXR1-1",""
"Q9NXR1-2","reviewed","NDE1","Q9NXR1-2",""
"Q07960-1","reviewed","ARHGAP1","Q07960-1","H0YE29-1"
"Q07960-1","reviewed","ARHGAP1","","E9PNR6-1"
"Q9NXR5-1","reviewed","ANKRD10","Q9NXR5-1","S4R3R2-1"
"Q9NXR5-1","reviewed","ANKRD10","Q9NXR5-2","Q8IUW1-1"
"Q9NXR7-2","reviewed","BABAM2","Q9NXR7-1",""
"Q9NXR7-2","reviewed","BABAM2","Q9NXR7-2",""
"Q9NXR7-2","reviewed","BABAM2","Q9NXR7-3",""
"Q9NXR7-2","reviewed","BABAM2","Q9NXR7-4",""
"Q96J66-1","reviewed","ABCC11","Q96J66-1","H3BRJ2-1"
"Q96J66-1","reviewed","ABCC11","Q96J66-2",""
"P40424-1","reviewed","PBX1","P40424-2","H0YLF5-1"
"P40424-1","reviewed","PBX1","P40424-3","S4R377-1"
"P40424-1","reviewed","PBX1","P40424-1","H0YLD4-1"
"P40424-1","reviewed","PBX1","","F8WA05-1"
"P40424-1","reviewed","PBX1","","A0A0A0MTI0-1"
"P40424-1","reviewed","PBX1","","H0YKH1-1"
"P40424-1","reviewed","PBX1","","H0YLM3-1"
"P40424-1","reviewed","PBX1","","A0A087X0P4-1"
"P40424-1","reviewed","PBX1","","H0YLT4-1"
"P40424-1","reviewed","PBX1","","H0YLB0-1"
"P40425-1","reviewed","PBX2","P40425-1",""
"P40426-1","reviewed","PBX3","P40426-1","H0Y5D0-1"
"P40426-1","reviewed","PBX3","P40426-2","U3KQA2-1"
"P40426-1","reviewed","PBX3","P40426-3","H3BLX0-1"
"P40426-1","reviewed","PBX3","P40426-4","Q5JS98-1"
"P40426-1","reviewed","PBX3","P40426-5",""
"Q9H2I8-1","reviewed","LRMDA","Q9H2I8-1","A0A087WWI0-1"
"Q9H2I8-1","reviewed","LRMDA","","A0A087WZZ7-1"
"Q9H2I8-1","reviewed","LRMDA","","M0R2H0-1"
"P08842-1","reviewed","STS","P08842-1",""
"P03891-1","reviewed","MT-ND2","P03891-1",""
"Q5VUR7-1","reviewed","ANKRD20A3","Q5VUR7-1","A0A087WY83-1"
"P03897-1","reviewed","MT-ND3","P03897-1",""
"P02768-1","reviewed","ALB","P02768-1","H0YA55-1"
"P02768-1","reviewed","ALB","P02768-2","H7C013-1"
"P02768-1","reviewed","ALB","P02768-3","D6RHD5-1"
"P02768-1","reviewed","ALB","","D6RCE7-1"
"P02768-1","reviewed","ALB","","A0A087WWT3-1"
"P02768-1","reviewed","ALB","","B7WNR0-1"
"P02768-1","reviewed","ALB","","A0A0C4DGB6-1"
"P02768-1","reviewed","ALB","","C9JKR2-1"
