"uniprotkb_canonical_ac","database_id","database_label"
"Q8TBF4-1","NP_149105.3",""
"Q9NRQ5-1","NP_064564.1",""
"Q5QJ38-1","NP_001008536.1",""
"P20930-1","NP_002007.1",""
"Q496A3-1","NP_659463.1",""
"P83859-1","NP_937823.1",""
"A0A0A0MQW5-1","NP_001073903.1",""
"Q9H999-1","NP_078870.1",""
"Q8NHX9-1","NP_620714.2",""
"Q4VXU2-1","NP_001118228.1",""
"Q9C0H9-5","NP_079524.2",""
"O00244-1","NP_004036.1",""
"Q3LI54-1","NP_001092689.1",""
"Q7Z3T1-1","NP_001001957.2",""
"P40425-1","NP_002577.2",""
"Q9H2I8-1","NP_114413.1",""
"P03891-1","YP_003024027.1",""
"Q5VUR7-1","NP_001012419.1",""
"P03897-1","YP_003024033.1",""
"P02768-1","NP_000468.1",""
"P05387-1","NP_000995.1",""
"P02760-1","NP_001624.1",""
"P02763-1","NP_000598.2",""
"P02765-1","NP_001613.2",""
"P02766-1","NP_000362.1",""
"P18075-1","NP_001710.1",""
"Q9UJ70-1","NP_060037.3",""
"Q9UJ72-1","NP_009124.2",""
"O60508-1","NP_056975.1",""
"Q15165-2","NP_000296.2",""
"Q15166-1","NP_000931.1",""
"Q9P2J3-1","NP_061335.1",""
"O15072-1","NP_055058.2",""
"P41181-1","NP_000477.1",""
"Q5VWT5-1","NP_001004303.3",""
"P12074-1","NP_004364.2",""
"Q96CS2-1","NP_612452.1",""
"Q96CS3-1","NP_055428.1",""
"Q9P219-1","NP_001073883.2",""
"Q9BVC3-1","NP_076999.2",""
"Q92831-1","NP_003875.3",""
"Q92837-1","NP_005470.2",""
"Q9H3M9-1","NP_001129467.1",""
"P21452-1","NP_001048.2",""
"P00540-1","NP_005363.1",""
"Q9H3M0-1","NP_002227.2",""
"Q9H845-1","NP_054768.2",""
"Q9BZG2-1","NP_149059.1",""
"Q9BVC6-1","NP_076997.1",""
"P19099-1","NP_000489.3",""
"P16402-1","NP_005311.1",""
"A6NCC3-2","NP_001264237.1",""
"Q05952-1","NP_005416.1",""
"Q9UKZ9-1","NP_037495.1",""
"P09001-1","NP_009139.1",""
"P53708-1","NP_003629.2",""
"P60520-1","NP_009216.1",""
"Q9UKZ1-1","NP_060016.3",""
"Q6NX45-1","NP_001004309.2",""
"Q14566-1","NP_005906.2",""
"O60741-1","NP_066550.2",""
"Q6P1A2-1","NP_005759.4",""
"A6NIR3-1","NP_001137472.1",""
"Q9UHF3-1","NP_057431.2",""
"Q9UHC6-1","NP_054860.1",""
"P41212-1","NP_001978.1",""
"Q92527-1","NP_062618.2",""
"Q92521-1","NP_004846.4",""
"Q92522-1","NP_006017.1",""
"Q7L8L6-1","NP_068598.1",""
"Q8N5F7-1","NP_078804.2",""
"O14556-1","NP_055179.1",""
"Q9H158-1","NP_061721.2",""
"Q8N1A0-1","NP_689562.1",""
"Q96DR8-1","NP_477521.1",""
"Q9HAP2-1","NP_055753.3",""
"A6NGR9-1","NP_001094348.1",""
"P07204-1","NP_000352.1",""
"P30874-1","NP_001041.1",""
"Q9H211-1","NP_112190.2",""
"Q9H210-1","NP_003691.1",""
"Q9H213-1","NP_054780.2",""
"Q96G27-1","NP_036609.1",""
"P11597-1","NP_000069.2",""
"Q9BWU0-1","NP_060628.2",""
"Q13232-1","NP_002504.2",""
"Q13233-1","NP_005912.1",""
"Q5TBA9-1","NP_075463.2",""
"Q8HWS3-1","NP_775831.2",""
"P08123-1","NP_000080.2",""
"Q9NRH3-1","NP_057521.1",""
"A0A1W2PRP0-1","XP_011513358.1",""
"P10914-1","NP_002189.1",""
"Q6UW02-1","NP_803882.1",""
"Q6UW01-1","NP_001034860.1",""
"A0A1B0GVK7-1","NP_001182371.1",""
"Q15768-1","NP_001397.1",""
"Q8N6K4-1","XP_016879449.1",""
"P59910-1","NP_705842.2",""
"Q9H596-1","NP_071359.3",""
"Q96BT3-1","NP_079358.3",""
"O95522-1","NP_001074299.2",""
"O95521-1","NP_075389.2",""
"P48147-1","NP_002717.3",""
"P48146-1","NP_005277.2",""
"P48145-1","NP_005276.2",""
"Q99519-1","NP_000425.1",""
"O15417-1","NP_001073964.2",""
"Q96J65-1","NP_150229.2",""
"Q9NYU1-1","NP_064506.3",""
"Q9NYU2-1","NP_064505.1",""
"A4D1P6-1","NP_054868.3",""
"Q96L58-1","NP_542172.2",""
"P55145-1","NP_006001.4",""
"P35789-1","NP_112495.2",""
"Q9HBM6-1","NP_057059.2",""
"I1YAP6-1","NP_001139634.1",""
"P00558-1","NP_000282.1",""
"Q02127-1","NP_001352.2",""
"Q5RIA9-1","NP_001317597.1",""
"Q8NH03-1","NP_001005495.1",""
"Q9BXJ8-1","NP_114131.1",""
"Q8NH01-1","NP_001001964.1",""
"Q96CN9-1","NP_078799.2",""
"Q8NG76-1","NP_001004695.1",""
"Q92917-1","NP_056513.2",""
"Q96CN7-1","NP_057132.2",""
"Q12907-1","NP_006807.1",""
"Q03188-1","NP_001803.2",""
"O15069-1","NP_001139806.1",""
"Q5RKV6-1","NP_478126.1",""
"Q8NGF7-1","NP_001005489.1",""
"P33552-1","NP_001818.1",""
"P48556-1","NP_002803.2",""
"Q8NH04-1","NP_001001824.1",""
"O15066-1","NP_004789.1",""
"Q86WN1-1","NP_258260.1",""
"Q8NAP8-1","NP_001139192.1",""
"Q9NZM5-1","NP_056525.2",""
"Q8NAP1-1","NP_849153.3",""
"Q5T6X4-1","NP_001078949.1",""
"A6NEN9-1","NP_001020436.1",""
"Q12788-1","NP_006444.2",""
"A8MZ59-1","NP_001137304.1",""
"Q8NGH5-1","NP_001001917.2",""
"Q92911-1","NP_000444.1",""
"Q9BR01-1","NP_055166.1",""
"Q8NCJ5-1","NP_116229.1",""
"Q9Y294-1","NP_054753.1",""
"Q9Y295-1","NP_004138.1",""
"Q12834-1","NP_001246.2",""
"O43638-1","NP_004109.1",""
"P56747-1","NP_067018.2",""
"Q6ICB0-1","NP_056519.1",""
"Q5FYB1-1","NP_001012301.1",""
"Q6UX98-1","NP_997223.1",""
"P49792-1","NP_006258.3",""
"B0I1T2-1","NP_149043.2",""
"Q2NL82-1","NP_060598.3",""
"Q5JTN6-1","NP_001038941.1",""
"P51116-1","NP_004851.2",""
"P07477-1","NP_002760.1",""
"Q86VD9-1","NP_079439.2",""
"Q587I9-1","NP_116129.3",""
"Q9Y2T5-1","NP_005675.3",""
"Q9Y2T7-1","NP_057066.2",""
"Q9Y2T1-1","NP_004646.3",""
