Old stable ID, New stable ID, Release, Mapping score
ENSG00000069712.1, ENSG00000069712.1, 3, 0
ENSG00000069712.1, ENSG00000069712.2, 26, 0
ENSG00000069712.2, ENSG00000069712.3, 38, 0
ENSG00000069712.3, ENSG00000069712.4, 47, 0.996477
ENSG00000069712.4, ENSG00000069712.5, 52, 0.985787
ENSG00000069712.5, ENSG00000069712.6, 55, 0.989364
ENSG00000069712.6, ENSG00000069712.7, 56, 0.999946
ENSG00000069712.7, ENSG00000069712.8, 61, 0.999946
ENSG00000069712.8, ENSG00000069712.9, 62, 0.999946
ENSG00000069712.9, ENSG00000069712.10, 76, 0.998034
ENSG00000069712.10, ENSG00000069712.11, 85, 0.9505
ENSG00000069712.11, ENSG00000069712.12, 88, 0.971376
ENSG00000069712.12, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000116957.1, ENSG00000116957.1, 3, 0
ENSG00000116957.1, ENSG00000116957.2, 15, 0
ENSG00000116957.2, ENSG00000116957.3, 38, 0
ENSG00000116957.3, ENSG00000116957.4, 47, 0.98754
ENSG00000116957.4, ENSG00000116957.5, 50, 0.996512
ENSG00000116957.5, ENSG00000116957.6, 55, 0.959964
ENSG00000116957.6, ENSG00000116957.7, 56, 0.846981
ENSG00000116957.7, ENSG00000116957.8, 62, 0.991969
ENSG00000116957.8, ENSG00000116957.9, 76, 0.991994
ENSG00000116957.9, ENSG00000116957.10, 77, 1
ENSG00000116957.10, ENSG00000116957.11, 79, 1
ENSG00000116957.11, ENSG00000116957.12, 81, 1
ENSG00000116957.12, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000122718.1, ENSG00000122718.1, 3, 0
ENSG00000122718.1, ENSG00000122718.2, 21, 0
ENSG00000122718.2, ENSG00000122718.3, 52, 0.984384
ENSG00000122718.3, ENSG00000122718.4, 62, 0.953781
ENSG00000122718.4, ENSG00000122718.5, 77, 0.958453
ENSG00000122718.5, <retired>, 85, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000130201.1, ENSG00000130201.1, 3, 0
ENSG00000130201.1, ENSG00000130201.2, 26, 0
ENSG00000130201.2, ENSG00000130201.3, 55, 0.991446
ENSG00000130201.3, ENSG00000130201.4, 76, 1
ENSG00000130201.4, ENSG00000130201.5, 77, 1
ENSG00000130201.5, ENSG00000130201.6, 79, 1
ENSG00000130201.6, ENSG00000130201.7, 81, 1
ENSG00000130201.7, ENSG00000130201.8, 85, 0.882812
ENSG00000130201.8, <retired>, 88, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000133808.1, ENSG00000133808.1, 3, 0
ENSG00000133808.1, ENSG00000133808.2, 38, 0
ENSG00000133808.2, ENSG00000133808.3, 47, 0.543383
ENSG00000133808.3, ENSG00000133808.4, 61, 0.887249
ENSG00000133808.4, <retired>, 92, 0

Old stable ID, New stable ID, Release, Mapping score
ENSG00000150076.1, ENSG00000150076.2, 15, 0
ENSG00000150076.2, ENSG00000150076.3, 18.1, 0
ENSG00000150076.3, ENSG00000150076.4, 18.2, 0
ENSG00000150076.4, ENSG00000150076.5, 21, 0
ENSG00000150076.6, ENSG00000150076.7, 26, 0
ENSG00000150076.7, ENSG00000150076.8, 27, 0
ENSG00000150076.8, ENSG00000150076.9, 38, 0
ENSG00000150076.9, ENSG00000150076.10, 47, 0.849041
ENSG00000150076.10, ENSG00000150076.11, 50, 0.806204
ENSG00000150076.11, ENSG00000150076.12, 55, 0.947777
ENSG00000150076.12, ENSG00000150076.13, 56, 0.999692
ENSG00000150076.13, ENSG00000150076.14, 61, 0.994576
ENSG00000150076.14, ENSG00000150076.15, 62, 0.978857
ENSG00000150076.15, ENSG00000150076.16, 67, 0.978769
ENSG00000150076.16, ENSG00000150076.17, 68, 0.996867
